feature,importance
CryoSleep,0.2142022922186589
Num,0.1983780107108946
Age,0.12480051629131991
VRDeck,0.0904001180110164
Spa,0.08476558412358758
RoomService,0.05803501100448063
FoodCourt,0.05684178995589342
Deck_G,0.033827375537239184
ShoppingMall,0.03336979906492556
"Luxury_(2365.0, 35987.0]",0.017618755517521862
Destination_TRAPPIST-1e,0.01668951153550022
HomePlanet_Mars,0.012188096531511873
Destination_PSO J318.5-22,0.010648786392826095
Deck_E,0.00977093573329988
HomePlanet_Europa,0.008048785588392712
Deck_F,0.007316514089997523
"Luxury_(979.0, 2365.0]",0.0071500810059171175
"Luxury_(716.0, 979.0]",0.005153224196081717
Deck_C,0.004520049606225077
Deck_D,0.0028698244807680994
VIP,0.001932486458503998
Deck_B,0.0014724519454376098
Deck_T,0.0
