feature,importance
CryoSleep,0.3951994909069151
Spa,0.12474981277974609
VRDeck,0.10007119608794991
RoomService,0.0953892340498154
FoodCourt,0.0713526729192591
Deck_G,0.05673741130216722
Num,0.04136000867599643
Age,0.032534693158640125
ShoppingMall,0.022043267307214155
HomePlanet_Europa,0.0217501159809359
Deck_E,0.015324703055440515
HomePlanet_Mars,0.009973651556280931
Deck_C,0.003932379074111696
Destination_TRAPPIST-1e,0.003137959585515081
Deck_F,0.002071530916809522
Deck_B,0.0013089602851381072
"Luxury_(716.0, 979.0]",0.0009521053400031254
VIP,0.0006995330749105266
Destination_PSO J318.5-22,0.0006191288677133873
"Luxury_(2365.0, 35987.0]",0.0005478464720977162
"Luxury_(979.0, 2365.0]",0.00024429860334004925
Deck_T,0.0
Deck_D,0.0
