feature,importance
Num,0.19340003266047764
Age,0.14033962014634654
Spa,0.1022042510023834
VRDeck,0.09447847767241677
RoomService,0.09297793898576355
FoodCourt,0.08202731811599955
CryoSleep,0.0775475237698442
ShoppingMall,0.06461329296858574
HomePlanet_Europa,0.02068114813812348
Deck_G,0.016388672806891984
HomePlanet_Mars,0.015162909282726074
"Luxury_(979.0, 2365.0]",0.014628761080533993
Destination_TRAPPIST-1e,0.014053105551377263
Deck_E,0.012730296045262542
"Luxury_(716.0, 979.0]",0.012147327331688815
Deck_F,0.01214547929858042
"Luxury_(2365.0, 35987.0]",0.008708208781639849
Deck_C,0.006614863273007013
Destination_PSO J318.5-22,0.006349506445292326
Deck_B,0.006050788921501198
Deck_D,0.003860934206801909
VIP,0.0028579479784716414
Deck_T,3.159553628403303e-05
